dataset_split,acc1,acc2,acc3,bal_acc1,bal_acc2,bal_acc3,stat_par1,stat_par2,stat_par3,eq_odds1,eq_odds2,eq_odds3
acs_iid10,0.7876328930412371,0.7869684278350515,0.7876892719072165,0.7655004407604629,0.7637762532058942,0.7662965105741311,-0.18892741203308105,-0.1881575882434845,-0.1934884786605835,0.11904563754796982,0.11892761662602425,0.12342218682169914
acs_iid5,0.7899240883555162,0.7895092926323419,0.7901214183597447,0.76868462999203,0.7663883318854725,0.7655025392741368,-0.20817014575004578,-0.19715654850006104,-0.20121169090270996,0.1386924758553505,0.12802259251475334,0.13338494673371315
acs_state3,0.7910557155226224,0.7910033626643578,0.7907899240883555,0.7688320791802093,0.7686615191285242,0.7673646958400883,-0.1956469714641571,-0.21138055622577667,-0.2201073318719864,0.12499388307332993,0.14281710609793663,0.1533171944320202
acs_state5,0.7903164100726088,0.7905379011505455,0.7904533318298788,0.7696845034061914,0.7716334799090827,0.7697163733231173,-0.19733120501041412,-0.20666955411434174,-0.20191626250743866,0.12546123191714287,0.13463952019810677,0.13061317428946495
adult_age3,0.8319344933469806,0.8282497441146366,0.8235414534288639,0.7235385815702475,0.709938864671264,0.7046615356816404,0.14069866389036179,0.13805527240037918,0.13280480355024338,0.048226650804281235,0.06434948649257421,0.05170467309653759
adult_age5,0.8401555464592714,0.8419975440032746,0.8350388866148178,0.7374943414220791,0.7310818234394809,0.7332518175916126,0.15696878731250763,0.15181206166744232,0.16173966974020004,0.08591736480593681,0.090630654245615,0.0914354920387268
adult_iid10,0.8466257668711656,0.8441717791411043,0.8470347648261759,0.765253236429707,0.7545105609811492,0.7589677492618669,0.19635220617055893,0.1870562806725502,0.19291798025369644,0.1347436336800456,0.12939741183072329,0.1383254388347268
adult_iid5,0.8425793244626407,0.8448311156601842,0.8436028659160696,0.7652976394115634,0.7533042536207093,0.7562219181206523,0.1545700803399086,0.17400094121694565,0.1626078337430954,0.050936564803123474,0.09677119739353657,0.07585878483951092
bank_age3,0.9003665444851716,0.8990336554481839,0.8982005998000666,0.6680977516774727,0.6594088394039173,0.6648955610622673,0.03476608917117119,0.044057320803403854,0.03151940554380417,0.022251244634389877,0.04155508242547512,0.015973355621099472
bank_age5,0.9027153090121606,0.9048808928868899,0.9042145593869731,0.6695677706854793,0.6606330648544111,0.6793016623613899,0.036917250603437424,0.026860225945711136,0.04550933837890625,0.03624765854328871,0.008715629577636719,0.050182536244392395
bank_iid10,0.9010659560293138,0.8992338441039307,0.8987341772151899,0.6753301151486064,0.6543329803114262,0.6703780243201685,0.0336952768266201,0.02609505131840706,0.027899596840143204,0.021088669076561928,0.012805333361029625,0.00715080089867115
bank_iid5,0.9083944037308461,0.9103930712858095,0.9072285143237842,0.6745743198789954,0.6922924526510748,0.6605165092152616,0.036827053874731064,0.04149789735674858,0.04160960018634796,0.037513851188123226,0.040148235857486725,0.05552003160119057
cac_iid10,0.82,0.8133333333333334,0.8,0.8173424327579286,0.8122574601900174,0.7984745082296267,0.4850640445947647,0.4457681477069855,0.4455903619527817,0.24528024718165398,0.2039315514266491,0.22180302441120148
cac_iid5,0.8266666666666667,0.8266666666666667,0.81,0.825653798256538,0.826187511119018,0.8083526062978117,0.4679943323135376,0.48079660534858704,0.46194881200790405,0.21874886751174927,0.2349104806780815,0.23297003656625748
cac_state3,0.8471760797342193,0.8504983388704319,0.8172757475083057,0.8454968944099379,0.8472049689440995,0.8194099378881987,0.5640376806259155,0.5404121428728104,0.5393019020557404,0.30754202604293823,0.2756788395345211,0.30751995742321014
cac_state5,0.8239202657807309,0.8205980066445183,0.8305647840531561,0.8222016079158936,0.8192640692640693,0.8293135435992578,0.4240830987691879,0.431727796792984,0.4385770857334137,0.18551766127347946,0.19784531742334366,0.1958405189216137
kdd_age3,0.9484129635816906,0.9490811894420315,0.9485688829491035,0.6070297621318976,0.608411284251862,0.599248813608123,0.025503923650830984,0.027256925823166966,0.023589377524331212,0.059297294821590185,0.0717404076422099,0.05787008287734352
kdd_age5,0.9446040761777481,0.9464751085867023,0.9463637376099788,0.5685990097147063,0.6049667530167933,0.6132101107020743,0.014070216566324234,0.02744376566261053,0.029104178305715322,0.025658148108050227,0.05294577882159501,0.04794005420990288
kdd_iid10,0.9487750556792873,0.9489086859688196,0.9487305122494432,0.6587521914426983,0.6617942989336248,0.6555925745495896,0.0479992525652051,0.04967043362557888,0.046047408133745193,0.11426652909722179,0.12178077956195921,0.10739624744746834
kdd_iid5,0.9515536251252924,0.9513086089765007,0.9521995767902884,0.6794548782532909,0.6812206264412985,0.6846251696617747,0.055467610247433186,0.05593898380175233,0.056283519603312016,0.1406684034736827,0.14322843216359615,0.1437234306940809
